systematic_name,bp,mf
YDL111C,35S primary transcript processing*,3'-5'-exoribonuclease activity
YDR064W,protein biosynthesis,structural constituent of ribosome
YJL072C,DNA-dependent DNA replication,DNA binding
YEL029C,bud site selection,molecular function unknown
YEL027W,endocytosis*,hydrogen ion transporter activity
YJL024C,vesicle-mediated transport*,molecular function unknown
YJL192C,ER to Golgi transport,molecular function unknown
YKL110C,carbon utilization,enzyme regulator activity
YAL007C,ER to Golgi transport,molecular function unknown
YOR159C,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism"
YMR209C,biological process unknown,molecular function unknown
YBL009W,meiosis,protein serine/threonine kinase activity
YPR071W,biological process unknown,molecular function unknown
YGL251C,meiosis*,DNA helicase activity
YML081C-A,ATP synthesis coupled proton transport,"hydrogen-transporting ATP synthase activity, rotational mechanism"
YBR255C-A,biological process unknown,molecular function unknown
YHR001W-A,aerobic respiration*,ubiquinol-cytochrome-c reductase activity
YKL053C-A,mitochondrion organization and biogenesis,molecular function unknown
YLR204W,biological process unknown,molecular function unknown
YIR001C,mRNA metabolism,poly(A) binding
YGR257C,transport*,transporter activity*
YGL039W,biological process unknown,oxidoreductase activity*
YGL072C,NA,NA
YDR236C,FMN biosynthesis,riboflavin kinase activity*
YMR292W,ER to Golgi transport*,molecular function unknown
YOL073C,biological process unknown,molecular function unknown
YPL261C,NA,NA
YCR023C,biological process unknown,molecular function unknown
YOL137W,biological process unknown,molecular function unknown
YOR021C,biological process unknown,molecular function unknown
YGR222W,protein biosynthesis*,RNA binding*
YEL018W,biological process unknown,molecular function unknown
YLR067C,protein biosynthesis*,translation regulator activity
YMR060C,outer mitochondrial membrane organization and biogenesis,protein binding
YPL220W,protein biosynthesis,structural constituent of ribosome
YGL135W,protein biosynthesis,structural constituent of ribosome
YGR033C,mitochondrial matrix protein import,molecular function unknown
YCR019W,viral life cycle,molecular function unknown
YNL100W,biological process unknown,molecular function unknown
YFR011C,biological process unknown,molecular function unknown
YDL120W,iron ion homeostasis*,enzyme regulator activity
YLR168C,biological process unknown,molecular function unknown
YLR441C,protein biosynthesis,structural constituent of ribosome
YJL177W,protein biosynthesis,structural constituent of ribosome
YJL209W,aerobic respiration*,mRNA binding
Q0105,aerobic respiration*,ubiquinol-cytochrome-c reductase activity
YNL022C,biological process unknown,molecular function unknown
YER161C,negative regulation of transcription from RNA polymerase II promoter,DNA binding
YDL060W,rRNA processing*,ribonucleoprotein binding
YPL217C,rRNA processing*,GTP binding
YMR128W,processing of 20S pre-rRNA*,RNA helicase activity
YDR465C,peptidyl-arginine methylation,protein-arginine N-methyltransferase activity
YNR050C,lysine biosynthesis via aminoadipic acid,"saccharopine dehydrogenase (NADP+, L-glutamate-forming) activity"
YKL025C,DNA repair*,poly(A)-specific ribonuclease activity
YIL043C,electron transport,cytochrome-b5 reductase activity
YJL065C,chromatin silencing at telomere,molecular function unknown
YDR268W,tryptophanyl-tRNA aminoacylation,tryptophan-tRNA ligase activity
YOR126C,acetate metabolism,"hydrolase activity, acting on ester bonds"
YBL057C,protein biosynthesis,aminoacyl-tRNA hydrolase activity
YJL035C,tRNA modification,tRNA specific adenosine deaminase activity
YNL232W,35S primary transcript processing*,3'-5'-exoribonuclease activity
YCR060W,protein folding,chaperone binding
YLR316C,tRNA modification,tRNA specific adenosine deaminase activity
YDL108W,protein amino acid phosphorylation*,general RNA polymerase II transcription factor activity*
YDR508C,amino acid transport,amino acid transporter activity*
YOL020W,aromatic amino acid transport,aromatic amino acid transporter activity
YJL139C,protein amino acid N-linked glycosylation*,mannosyltransferase activity
YKL175W,zinc ion homeostasis*,zinc ion transporter activity
YDR105C,biological process unknown,molecular function unknown
YPL074W,biological process unknown,ATPase activity
YNL246W,protein-vacuolar targeting,molecular function unknown
YGR285C,protein folding,unfolded protein binding
YJR129C,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity
YEL007W,biological process unknown,molecular function unknown
YNR043W,ergosterol biosynthesis*,diphosphomevalonate decarboxylase activity
YHR108W,Golgi to vacuole transport,molecular function unknown
YER003C,protein amino acid glycosylation*,mannose-6-phosphate isomerase activity
YBR265W,sphingolipid biosynthesis*,"oxidoreductase activity, acting on NADH or NADPH"
YDL164C,DNA recombination*,DNA ligase (ATP) activity
YKR077W,biological process unknown,molecular function unknown
YER165W,regulation of translational initiation,poly(A) binding
YLR397C,response to drug,ATPase activity
YLL036C,"nuclear mRNA splicing, via spliceosome*","RNA splicing factor activity, transesterification mechanism"
YDL042C,chromatin silencing at telomere*,histone deacetylase activity*
YML102W,DNA repair*,transcription regulator activity
YDL141W,protein amino acid biotinylation,biotin-[acetyl-CoA-carboxylase] ligase activity*
YPL226W,biological process unknown,ATPase activity*
YOL115W,mitotic sister chromatid cohesion*,polynucleotide adenylyltransferase activity*
YGR083C,translational initiation,translation initiation factor activity*
YGR162W,translational initiation,translation initiation factor activity
YER032W,mRNA polyadenylylation,molecular function unknown
YOR373W,microtubule nucleation,structural constituent of cytoskeleton
YIL123W,microtubule cytoskeleton organization and biogenesis,molecular function unknown
YNL300W,biological process unknown,molecular function unknown
YHR070W,tRNA methylation,tRNA (guanine) methyltransferase activity
YGL149W,NA,NA
YJR147W,pseudohyphal growth,molecular function unknown
YJL134W,sphingolipid biosynthesis*,sphingosine-1-phosphate phosphatase activity
YDL228C,NA,NA
YEL074W,NA,NA
YEL056W,chromatin silencing at telomere*,H3/H4 histone acetyltransferase activity
YLR443W,cell wall organization and biogenesis,molecular function unknown
YER078C,proteolysis and peptidolysis,metalloendopeptidase activity*
YLR215C,regulation of progression through mitotic cell cycle,molecular function unknown
YGR077C,peroxisome organization and biogenesis*,peroxisome targeting sequence binding
YBR023C,cytokinesis*,chitin synthase activity
YOR061W,protein amino acid phosphorylation*,protein kinase CK2 activity
YKR026C,translational initiation,translation initiation factor activity*
YOR176W,heme biosynthesis,ferrochelatase activity
YKL164C,cell wall organization and biogenesis*,structural constituent of cell wall
YER151C,protein deubiquitination,ubiquitin-specific protease activity
YGR012W,biological process unknown,cysteine synthase activity
YGR214W,protein biosynthesis*,structural constituent of ribosome
YIR012W,ribosomal large subunit assembly and maintenance,molecular function unknown
YLL044W,NA,NA
YDR417C,NA,NA
YKL018W,histone methylation*,histone lysine N-methyltransferase activity (H3-K4 specific)
YBR175W,chromatin silencing at telomere*,histone lysine N-methyltransferase activity (H3-K4 specific)
YGR198W,MAPKKK cascade,transferase activity
YGL199C,NA,NA
YMR055C,mitotic spindle checkpoint,GTPase activator activity
YIR043C,biological process unknown,molecular function unknown
YNR061C,biological process unknown,molecular function unknown
YOR247W,"nucleobase, nucleoside, nucleotide and nucleic acid metabolism",molecular function unknown
YAL029C,intracellular mRNA localization*,microfilament motor activity
YFR042W,biological process unknown,molecular function unknown
YPL044C,NA,NA
YPR016W-A,NA,NA
YPR176C,protein amino acid geranylgeranylation,Rab-protein geranylgeranyltransferase activity
YGR136W,biological process unknown,molecular function unknown
YDR047W,heme biosynthesis,uroporphyrinogen decarboxylase activity
YHR163W,tRNA processing*,6-phosphogluconolactonase activity
YDR404C,transcription from RNA polymerase II promoter,DNA-directed RNA polymerase activity
YOR260W,translational initiation,translation initiation factor activity*
YDR472W,ER to Golgi transport,molecular function unknown
YJL125C,tRNA methylation,tRNA (adenine-N1-)-methyltransferase activity
YHR020W,tRNA aminoacylation for protein translation,proline-tRNA ligase activity
YJR065C,actin filament organization*,structural constituent of cytoskeleton*
YPR103W,ubiquitin-dependent protein catabolism,endopeptidase activity
YPL204W,DNA repair*,casein kinase activity
YMR067C,ubiquitin-dependent protein catabolism*,molecular function unknown
YDL175C,mRNA-nucleus export*,molecular function unknown
YNL074C,response to drug,molecular function unknown
YFL010C,response to dessication,molecular function unknown
YAL021C,regulation of transcription from RNA polymerase II promoter*,3'-5'-exoribonuclease activity
YML127W,regulation of transcription from RNA polymerase II promoter*,chromatin binding
YLR113W,protein amino acid phosphorylation*,MAP kinase activity
YOR098C,mRNA-nucleus export*,protein binding*
YDL195W,ER to Golgi transport,structural molecule activity
YJR132W,protein-nucleus import,protein carrier activity
YAL014C,transport,SNAP receptor activity
YDL072C,biological process unknown,molecular function unknown
YGR255C,ubiquinone metabolism,ubiquinone biosynthesis monooxygenase activity
YGR080W,bipolar bud site selection*,actin monomer binding
YFR020W,NA,NA
YBR135W,transcription*,protein kinase activator activity
YJL115W,"DNA damage response, signal transduction resulting in induction of apoptosis",transcription regulator activity*
YER006W,rRNA processing,GTPase activity
YNL035C,biological process unknown,molecular function unknown
YNL108C,metabolism,molecular function unknown
YGR177C,steroid metabolism,alcohol O-acetyltransferase activity
YBR160W,protein amino acid phosphorylation*,cyclin-dependent protein kinase activity
YMR202W,ergosterol biosynthesis,C-8 sterol isomerase activity
YGR216C,GPI anchor biosynthesis,UDP-glycosyltransferase activity
YKL116C,MAPKKK cascade,receptor signaling protein serine/threonine kinase activity
YML027W,negative regulation of transcription from RNA polymerase II promoter*,DNA binding*
YNR027W,bud site selection,molecular function unknown
YER107C,mRNA-nucleus export*,structural molecule activity
YOL059W,glycerol metabolism,glycerol-3-phosphate dehydrogenase (NAD+) activity
YCL051W,cell wall organization and biogenesis*,transcription regulator activity*
YLL024C,protein folding,ATP binding
YLR403W,transcription from RNA polymerase III promoter*,transcription factor activity
YKR100C,cell wall organization and biogenesis,molecular function unknown
YGL128C,biological process unknown,molecular function unknown
YGL004C,proteolysis and peptidolysis,endopeptidase activity
YGR238C,conjugation with cellular fusion*,molecular function unknown
YEL021W,'de novo' pyrimidine base biosynthesis*,orotidine-5'-phosphate decarboxylase activity
YJL213W,biological process unknown,molecular function unknown
YOR130C,arginine biosynthesis*,L-ornithine transporter activity
